Jugador;Inf;Posición;Mejor pos.;Mejor rol;Edad;Calidad;Potencial;Tiempo de juego;País;Valor de traspaso;Sueldo;Final;Alcance aéreo;Mando en el área;Comunicación;Excentricidad;Blocaje;Saques de puerta;Uno contra uno;Reflejos;Salidas;Puños;Saque con la mano;Agresividad;Anticipación;Valentía;Serenidad;Concentración;Decisiones;Determinación;Talento;Liderazgo;Desmarques;Colocación;Trabajo equipo;Visión;Sacrificio;Saques de esquina;Centros;Remate;Control;Tiros libres;Cabeceo;Tiros lejanos;Saques largos;Pases;Penaltis;Entradas;Técnica;Regate;Marcaje;Aceleración;Agilidad;Equilibrio;Alcance de salto;Recuperación física;Velocidad;Resistencia;Fuerza
Sam Chambers;Les;ME/MP (DC);MP (C);LIB;18;2;4;Promesa casi en el primer equipo;SCO;375m € - 1,6M €;181m € p/a;30/6/2028;;;;;;;;;;;;9;10;10;9;12;9;13;12;5;10;5;11;15;12;10;11;11;12;10;9;14;4;14;8;7;12;11;10;13;12;14;10;8;12;7;7
Jacob Render;Juv;ME (D), MP (D);MP (D);EPD;17;2.5;4;Futura promesa;ENG;50m € - 475m €;18,25m € p/a;30/6/2026;;;;;;;;;;;;9;7;3;12;5;13;7;7;4;8;6;7;6;11;7;12;8;11;6;7;8;6;10;1;7;7;13;7;13;13;7;10;13;12;6;4
Sam Alker;Ind;ME/MP (C);MP (C);OAD;16;2.5;3.5;Futura promesa;ENG;60m € - 600m €;18,25m € p/a;30/6/2027;;;;;;;;;;;;15;7;7;8;5;12;7;13;8;7;6;7;13;12;7;4;10;12;6;5;5;4;8;5;5;13;8;5;11;12;5;5;14;13;10;1
Kenneth Mensah;Ind;MP (IC), DL (C);MP (C);MP;16;1;4.5;Futura promesa;ITA;85m € - 1,4M €;18,25m € p/a;30/6/2027;;;;;;;;;;;;5;6;6;9;3;9;12;15;10;8;4;6;10;7;6;11;12;12;2;7;6;5;12;7;3;12;12;2;12;6;6;11;12;10;12;4
Edward Ibrović-Fletcher;;MP (DIC), DL (C);MP (C);MP;16;2.5;4;Futura promesa;SRB;140m € - 2,5M €;18,25m € p/a;30/6/2028;;;;;;;;;;;;7;9;7;10;7;8;7;14;4;11;2;9;9;11;11;9;9;11;9;2;11;1;11;12;4;11;11;2;13;12;7;4;8;11;8;6
Logan White;;MP (DI);MP (I);EXT;16;1;3.5;Futura promesa;ENG;100m € - 1M €;18,25m € p/a;30/6/2027;;;;;;;;;;;;15;5;7;6;4;13;7;15;1;13;5;7;9;11;7;11;7;9;5;2;2;5;12;1;4;11;13;2;13;13;3;3;5;13;7;1
Harvey Vincent;;MP (DI);MP (I);EXT;18;2.5;3;Joven;ENG;16m € - 160m €;30m € p/a;30/6/2027;;;;;;;;;;;;5;6;1;9;3;8;11;7;6;10;7;13;7;12;7;12;9;10;5;6;8;7;11;5;7;8;11;4;14;11;5;9;9;12;7;4
Josh McDonald;;ME/MP (DI);MP (D);EXT;18;2.5;2.5;Joven;SCO;200m € - 420m €;48m € p/a;30/6/2028;;;;;;;;;;;;8;8;6;7;7;6;15;8;7;10;7;7;6;12;8;11;9;13;4;7;11;3;9;3;6;8;12;6;14;13;5;9;9;15;7;4
Freddie Lane;Juv;ME (I), MP (DIC);MP (D);EXT;17;2.5;2.5;Joven;ENG;14m € - 140m €;18,25m € p/a;30/6/2026;;;;;;;;;;;;7;8;7;11;5;8;9;11;9;9;4;7;8;12;7;11;9;8;6;7;4;3;13;4;4;10;9;6;14;14;10;12;13;14;7;4
Connor Douglas;;ME/MP (DI);MP (D);EXT;19;2.5;2.5;Cedido en otro club;ENG;1,5m € - 140m €;36m € p/a;30/6/2026;;;;;;;;;;;;12;4;8;3;5;7;16;13;11;8;5;10;5;12;8;11;7;13;6;6;5;4;11;3;7;13;11;5;13;13;9;10;13;13;8;3
Carrick Njinko;;MP (DI), DL (C);MP (D);EXT;16;1;3;Joven;ENG;35m € - 325m €;18,25m € p/a;30/6/2027;;;;;;;;;;;;5;7;3;5;8;10;3;7;9;7;3;14;8;12;7;9;9;12;7;8;8;7;12;4;8;7;15;3;10;7;13;8;6;9;8;4
Dominic Calvert-Lewin;;DL (C);DL (C);DLC;28;3.5;3.5;Titular habitual;ENG;35M € - 42M €;4,21M € p/a;30/6/2028;;;;;;;;;;;;13;12;14;13;14;13;14;12;5;14;6;15;10;16;9;11;12;16;7;18;9;2;11;13;5;13;11;6;15;14;13;16;12;16;14;15
Joël Piroe;Seg;MP (C), DL (C);DL (C);DLA;26;3;4;Jugador secundario;SUR;9M €;2,7M € p/a;30/6/2027;;;;;;;;;;;;8;14;11;16;11;15;12;14;6;15;5;13;13;12;7;10;16;15;12;10;15;4;13;15;6;15;12;5;8;8;14;12;10;11;12;14
Lukas Nmecha;;MP (DI), DL (C);DL (C);DLC;26;3;3;Jugador de plantilla;GER;15,5M € - 21M €;2,7M € p/a;30/6/2027;;;;;;;;;;;;12;13;11;13;12;12;12;15;10;14;6;12;11;11;6;8;14;13;12;13;10;6;11;17;6;14;13;5;14;13;14;13;7;14;11;13
Mateo Joseph;NoI;DL (C);DL (C);DLC;21;3;5;Cedido en otro club;ESP;19,5M € - 22M €;1,38M € p/a;30/6/2028;;;;;;;;;;;;12;12;12;11;10;11;13;13;8;14;7;11;8;13;4;9;13;13;7;14;11;3;10;13;4;13;12;3;14;14;15;14;13;14;13;15
Harry Gray;Juv;MP (DIC), DL (C);DL (C);DB;16;2;5;Cedido en otro club;ENG;12,5M € - 16M €;18,25m € p/a;30/6/2028;;;;;;;;;;;;13;12;8;11;9;12;14;12;12;13;4;11;11;13;11;10;12;12;10;10;10;9;11;13;5;15;11;5;13;13;9;9;11;12;11;10
Lewis Pirie;;MP (DIC), DL (C);DL (C);DB;18;2.5;2.5;Joven;SCO;85m € - 180m €;58m € p/a;30/6/2026;;;;;;;;;;;;13;7;7;7;7;8;12;14;12;9;7;9;7;10;8;10;15;13;8;15;9;3;8;8;6;13;15;6;11;8;6;9;12;10;5;7
Marley Wilson;;MP (DI), DL (C);DL (C);DB;19;2.5;2.5;Joven;ENG;6m € - 65m €;30m € p/a;30/6/2026;;;;;;;;;;;;11;8;8;7;6;9;6;8;4;9;4;8;8;10;7;8;11;14;7;13;5;3;8;7;5;9;10;5;12;12;6;11;13;11;13;5
Devon Brockie;;DL (C);DL (C);OBJ;18;1;2.5;Joven;ENG;0 € - 55m €;48m € p/a;30/6/2026;;;;;;;;;;;;15;12;10;9;6;14;10;7;12;8;7;13;8;15;3;5;15;9;4;10;8;3;8;5;1;9;9;6;5;8;15;13;12;6;9;12
