Jugador;Inf;Posición;Mejor pos.;Mejor rol;Edad;Calidad;Potencial;Tiempo de juego;País;Valor de traspaso;Sueldo;Final;Alcance aéreo;Mando en el área;Comunicación;Excentricidad;Blocaje;Saques de puerta;Uno contra uno;Reflejos;Salidas;Puños;Saque con la mano;Agresividad;Anticipación;Valentía;Serenidad;Concentración;Decisiones;Determinación;Talento;Liderazgo;Desmarques;Colocación;Trabajo equipo;Visión;Sacrificio;Saques de esquina;Centros;Remate;Control;Tiros libres;Cabeceo;Tiros lejanos;Saques largos;Pases;Penaltis;Entradas;Técnica;Regate;Marcaje;Aceleración;Agilidad;Equilibrio;Alcance de salto;Recuperación física;Velocidad;Resistencia;Fuerza
Sem Audoor;Ind;DF/CR (I);DF (I);LO;21;2;3.5;Promesa casi en el primer equipo;BEL;600m € - 850m €;62,5m € p/a;30/6/2026;;;;;;;;;;;;6;10;11;10;7;9;5;5;7;10;13;10;5;10;8;14;6;15;5;4;9;9;9;3;14;10;9;11;14;13;10;7;7;13;9;4
Alexander Vandeperre;Ind;DF/CR (I);DF (I);LO;18;2.5;3.5;Joven;BEL;45m € - 475m €;52m € p/a;30/6/2026;;;;;;;;;;;;13;9;10;9;8;10;16;5;10;8;8;13;8;10;6;10;7;8;2;5;3;11;8;2;12;11;5;11;15;15;8;12;11;13;7;8
Noah Rwabuzisoni;;DF (I);DF (I);CPD;17;2.5;3.5;Futura promesa;BEL;350m € - 800m €;26m € p/a;30/6/2027;;;;;;;;;;;;13;9;9;9;7;14;5;5;6;10;11;11;7;7;6;10;6;8;6;7;7;6;5;5;10;6;5;4;14;11;12;12;11;11;11;7
Lucas Schottmans;Ind;DF (IC);DF (I);LO;17;2.5;3;Futura promesa;NED;65m € - 650m €;69m € p/a;30/6/2028;;;;;;;;;;;;15;9;9;6;10;12;13;5;6;5;9;7;6;7;5;8;1;6;3;12;5;5;8;1;12;10;6;8;13;13;3;7;14;15;11;6
Joel Ordóñez;JCN;DF (C);DF (C);CD;21;3;4.5;Titular habitual;ECU;15M € - 17M €;947m € p/a;30/6/2029;;;;;;;;;;;;15;13;13;11;12;11;10;8;10;10;12;13;9;12;4;8;7;10;6;14;7;7;12;10;15;12;9;14;13;13;14;15;14;12;14;15
Brandon Mechele;JCN;DF (C);DF (C);CCT;32;3;3;Titular habitual;BEL;700m € - 1,1M €;848m € p/a;30/6/2027;;;;;;;;;;;;14;13;13;13;15;14;17;9;15;10;14;16;10;15;7;7;8;10;9;14;11;8;11;9;14;10;7;15;10;9;11;15;14;11;14;12
Zaid Romero;NoI;DF (C), MC;DF (C);CLT;25;3.5;3.5;Cedido en otro club;ARG;6,6M € - 8M €;442m € p/a;30/6/2028;;;;;;;;;;;;13;15;12;12;12;11;13;9;11;7;13;13;10;14;5;5;8;10;6;15;10;9;10;7;14;10;10;14;12;11;15;16;14;13;14;15
Jorne Spileers;S2;DF (C);DF (C);CCT;20;2.5;5;Promesa casi en el primer equipo;BEL;8,4M € - 9,6M €;156m € p/a;30/6/2028;;;;;;;;;;;;11;12;13;11;13;12;12;8;9;9;12;13;12;11;8;7;7;11;9;13;6;7;12;9;13;12;8;13;11;10;10;13;9;12;13;12
Vince Osuji;Ind;DF (C);DF (C);CD;19;2;4.5;Promesa casi en el primer equipo;NGA;650m € - 3,1M €;130m € p/a;30/6/2029;;;;;;;;;;;;12;11;14;11;11;11;13;10;6;6;10;10;11;10;5;8;6;9;6;13;7;7;12;6;12;11;10;11;12;11;12;17;13;13;12;11
Kader Yaméogo;Ind;DF (C);DF (C);CCT;20;2;3.5;Promesa casi en el primer equipo;CIV;1,1M € - 3,8M €;81,5m € p/a;30/6/2026;;;;;;;;;;;;12;8;11;11;10;12;10;5;12;8;10;11;6;11;7;5;4;13;3;16;7;5;13;3;11;9;11;11;13;15;14;10;9;13;10;12
Wout Verlinden;Ind;DF (C);DF (C);DFC;18;2.5;4;Futura promesa;BEL;170m € - 1M €;52m € p/a;30/6/2027;;;;;;;;;;;;8;10;10;8;12;15;8;5;11;6;12;9;7;10;5;4;9;10;1;13;4;2;8;5;16;9;4;11;10;11;10;9;6;9;8;7
Axl Wins;Ind;DF (C);DF (C);CD;17;2.5;3.5;Futura promesa;BEL;150m € - 1,6M €;78m € p/a;30/6/2027;;;;;;;;;;;;10;11;9;8;7;9;14;5;10;5;13;13;12;8;4;8;3;9;1;8;7;2;12;8;14;3;9;13;10;13;8;10;13;14;13;7
Brian Didrich;;DF (C);DF (C);CD;17;2.5;3.5;Futura promesa;BEL;150m € - 1,2M €;65m € p/a;30/6/2026;;;;;;;;;;;;15;11;15;5;5;14;9;5;5;11;14;12;8;9;7;1;4;11;3;13;5;3;10;4;14;7;2;12;7;9;8;12;17;10;4;6
Senne Delahaye;;DF (C);DF (C);CD;16;2.5;4;Futura promesa;BEL;75m € - 750m €;75m € p/a;30/6/2028;;;;;;;;;;;;15;9;14;6;10;10;14;5;1;5;10;8;7;9;5;3;7;5;2;16;4;3;2;3;16;6;6;11;8;8;6;9;12;9;9;11
Daan Braspenning;;DF (C);DF (C);DFC;17;2.5;4;Futura promesa;BEL;120m € - 600m €;30,5m € p/a;30/6/2027;;;;;;;;;;;;15;12;15;7;8;14;9;5;3;6;14;7;4;8;3;4;1;8;1;13;6;3;5;6;12;5;3;14;9;6;8;14;12;10;4;7
Mateo Haesaert;Ind;DF (C);DF (C);CD;16;2.5;4;Futura promesa;BEL;75m € - 750m €;22m € p/a;30/6/2027;;;;;;;;;;;;15;5;8;4;9;14;16;5;7;5;13;6;3;7;4;1;3;6;1;9;4;3;7;6;14;6;1;14;10;11;7;6;8;11;11;4
Léni Strouwen;;DF (C);DF (C);CD;15;2.5;5;Futura promesa;BEL;500m € - 4M €;3m € p/a;30/6/2028;;;;;;;;;;;;8;7;8;5;8;11;11;5;3;4;13;6;2;7;5;3;1;7;5;13;5;1;7;3;13;4;3;14;9;6;7;17;16;7;4;7
Don Ndombele;;DF (C);DF (C);DFC;16;2.5;3;Futura promesa;BEL;120m € - 1,2M €;3m € p/a;30/6/2027;;;;;;;;;;;;15;4;13;9;9;14;4;5;7;5;14;6;1;7;2;1;1;7;1;9;2;3;2;2;14;6;6;13;8;9;7;9;14;10;5;7
Hans Vanaken;JCN;ME/MP (C);ME (C);CO;32;3.5;3.5;Jugador importante;BEL;3,1M € - 6,6M €;4,16M € p/a;30/6/2027;;;;;;;;;;;;14;14;13;16;14;16;12;14;14;16;13;15;17;14;13;12;14;13;12;15;13;8;15;14;8;14;10;8;9;10;12;13;13;11;13;13
Félix Lemaréchal;;ME/MP (C);ME (C);MP;22;3.5;4.5;Titular habitual;FRA;16,5M € - 21M €;1,22M € p/a;30/6/2029;;;;;;;;;;;;12;11;12;13;11;12;13;15;9;11;9;13;14;13;12;13;11;14;9;11;14;5;14;12;9;14;14;9;13;14;12;11;12;13;14;12
Raphael Onyedika;S8;MC, ME (C);MC;CTT;24;3.5;4;Jugador importante;NGA;10,5M € - 11M €;780m € p/a;30/6/2027;;;;;;;;;;;;15;14;14;12;13;14;12;10;10;14;13;13;13;15;6;9;9;11;7;13;12;10;13;7;14;13;12;13;13;12;13;13;14;14;14;14
Ludovit Reis;;MC, ME (C);MC;CTT;25;3.5;4;Titular habitual;NED;9M € - 11M €;1,99M € p/a;30/6/2029;;;;;;;;;;;;16;13;16;13;11;12;16;14;13;13;9;15;12;17;11;11;11;12;11;8;12;8;12;11;13;12;15;9;12;13;12;8;12;14;16;11
Aleksandar Stanković;S9;MC, ME (C);ME (C);MP;20;2.5;5;Jugador de plantilla;SRB;20M € - 28M €;534m € p/a;30/6/2029;;;;;;;;;;;;11;15;12;13;10;12;11;13;11;14;12;12;12;12;12;9;12;13;12;14;14;3;15;10;12;14;11;12;12;12;13;14;14;11;14;11
Hugo Vetlesen;;ME (C);ME (C);CI;25;3;3.5;Jugador de plantilla;NOR;6M € - 6,6M €;1,04M € p/a;30/6/2027;;;;;;;;;;;;12;14;8;14;16;12;13;14;9;13;12;13;13;15;8;13;13;12;10;6;12;4;13;8;10;13;13;8;13;14;11;7;14;13;15;9
Thibaut Van Acker;Les;MC;MC;MC;33;2.5;2.5;Habitual en el Equipo B;BEL;10m € - 40m €;76m € p/a;30/6/2026;;;;;;;;;;;;11;13;12;12;14;12;12;9;15;10;13;15;12;15;8;8;12;11;9;10;9;5;12;6;14;11;10;12;10;10;8;8;11;11;12;10
Lucas Delorge;;MC, ME (C);ME (C);CO;18;2;4;Futura promesa;BEL;100m € - 1M €;62,5m € p/a;30/6/2028;;;;;;;;;;;;8;12;11;11;6;11;13;6;13;13;12;12;12;14;6;8;7;8;8;8;9;7;12;4;11;12;8;6;9;14;11;10;10;11;9;9
Laurens Goemaere;Ind;MC, ME (C);ME (C);MC;19;2;4;Futura promesa;BEL;450m € - 1,1M €;115m € p/a;30/6/2027;;;;;;;;;;;;13;11;6;11;9;12;13;6;12;9;11;13;9;10;6;5;8;12;11;10;7;6;14;2;11;9;9;13;11;9;9;10;15;10;13;12
Naïm Amengai;Les;MC, ME/MP (C);ME (C);CI;17;2;4.5;Futura promesa;BEL;130m € - 1,6M €;125m € p/a;30/6/2027;;;;;;;;;;;;15;11;11;8;9;10;12;5;5;11;13;10;12;13;12;11;7;11;13;8;12;5;12;3;9;13;11;9;11;10;10;11;14;10;7;12
Alejandro Granados;Ind;ME/MP (C);ME (C);MC;19;2;3.5;Promesa casi en el primer equipo;ESP;475m € - 2,1M €;130m € p/a;30/6/2027;;;;;;;;;;;;6;11;9;9;16;10;18;12;13;13;8;11;10;10;9;7;11;12;10;7;9;6;13;4;12;13;11;11;10;11;12;12;7;11;10;9
Lynnt Audoor;Les;MC, ME (C);MC;MC;21;2;3;Promesa casi en el primer equipo;BEL;400m € - 1,1M €;96m € p/a;30/6/2029;;;;;;;;;;;;5;12;9;6;11;13;13;5;1;8;13;12;10;12;8;7;9;10;8;12;8;7;11;5;13;11;11;12;13;13;8;9;7;13;6;10
Grady McDonnell;Ind;ME (C);ME (C);MC;17;2.5;4;Futura promesa;IRL;1,8M € - 3,3M €;43,5m € p/a;30/6/2029;;;;;;;;;;;;15;12;8;8;5;13;14;5;5;10;6;14;7;14;4;5;11;12;8;8;12;2;7;5;10;14;8;10;14;11;15;12;12;14;11;7
Emiel Callens;;ME/MP (C);ME (C);CO;17;2.5;4;Futura promesa;BEL;150m € - 800m €;88,5m € p/a;30/6/2028;;;;;;;;;;;;6;8;10;9;6;11;9;9;8;11;7;13;14;9;7;7;12;15;7;11;8;6;11;7;10;12;10;5;5;11;9;13;9;9;14;8
Gianluca Okon-Engstler;;MC, ME (C);ME (C);MC;16;2.5;4;Futura promesa;ITA;65m € - 3,5M €;65m € p/a;30/6/2027;;;;;;;;;;;;12;9;8;6;7;13;10;5;2;5;7;13;14;12;5;3;8;14;4;7;11;1;14;1;13;13;7;7;14;10;13;10;11;10;8;4
Utku Kurtal;;MC, ME (C);MC;CTT;16;2.5;4.5;Futura promesa;TUR;130m € - 1,3M €;28,5m € p/a;30/6/2027;;;;;;;;;;;;12;7;7;9;6;14;13;5;2;12;7;12;11;12;6;6;5;11;7;6;9;2;12;2;12;9;5;11;13;13;14;6;9;14;12;3
Bas Snaet;;ME/MP (C);ME (C);OAD;16;2.5;5;Futura promesa;BEL;130m € - 1,3M €;24,5m € p/a;30/6/2029;;;;;;;;;;;;9;6;5;9;4;12;3;5;11;7;5;8;12;9;4;6;6;14;6;7;6;3;14;1;7;14;7;9;14;12;8;3;6;13;12;3
Mamadou Balde;;MC;MC;CTT;16;2.5;4;Futura promesa;BEL;160m € - 1,6M €;3m € p/a;30/6/2027;;;;;;;;;;;;12;7;8;6;5;14;5;7;10;6;9;8;12;13;7;7;5;13;4;8;9;2;9;4;14;8;8;8;12;9;5;12;11;10;14;8
Samuel Gomez van Hoogen;Ind;DF (C), MC, ME;MC;MCI;19;2;3.5;Promesa casi en el primer equipo;BEL;275m € - 800m €;62,5m € p/a;30/6/2028;;;;;;;;;;;;11;9;10;10;9;8;3;9;8;9;11;14;9;11;6;10;9;14;10;13;12;2;10;7;12;12;8;11;10;12;10;14;6;11;12;12
Gilles Van Steeland;Ind;MC;MC;PVO;17;2.5;3;Futura promesa;BEL;130m € - 1,3M €;3m € p/a;30/6/2026;;;;;;;;;;;;12;6;8;5;8;14;11;5;3;10;6;11;11;12;6;1;5;13;6;6;6;3;11;6;11;10;7;10;11;14;7;10;14;12;8;6
Luca Rousseaux;;MC;MC;CTT;16;2.5;3;Futura promesa;BEL;0 €;N/D;No disponible;;;;;;;;;;;;11;9;7;6;4;13;6;5;6;7;8;7;12;12;5;5;6;9;5;5;6;1;14;4;13;7;6;9;11;11;7;4;6;10;13;6
Christos Tzolis;;ME (I), MP (DI);MP (I);DES;23;3.5;4.5;Jugador importante;GRE;17,5M € - 21M €;1,94M € p/a;30/6/2029;;;;;;;;;;;;11;15;10;13;10;12;13;15;7;15;6;12;12;12;12;15;15;14;11;8;11;6;12;14;6;15;14;6;15;15;12;8;11;13;12;10
Carlos Forbs;PrF;MP (DI);MP (I);EXT;21;3;5;Jugador de plantilla;POR;17M € - 19M €;674m € p/a;30/6/2029;;;;;;;;;;;;6;12;14;11;11;8;10;16;4;12;8;10;7;13;9;13;12;12;8;6;9;11;12;9;5;13;14;5;17;15;9;9;13;17;12;10
Mamadou Diakhon;;ME/MP (DI);MP (I);EXT;19;3;5;Promesa casi en el primer equipo;FRA;18M € - 25M €;193m € p/a;30/6/2029;;;;;;;;;;;;8;11;12;13;9;12;12;11;6;11;8;12;11;12;8;11;11;11;9;8;9;6;11;10;6;13;13;7;13;13;10;10;11;15;12;12
Cisse Sandra;S6;ME/MP (C);MP (C);CI;21;2.5;3.5;Promesa casi en el primer equipo;BEL;1M € - 2M €;104m € p/a;30/6/2027;;;;;;;;;;;;12;11;12;11;12;12;10;12;11;14;9;12;11;13;8;12;8;13;8;8;7;9;12;13;11;13;13;9;13;12;11;12;12;14;13;10
Shandre Campbell;;ME/MP (IC), DL;MP (I);EXT;20;2.5;3.5;Promesa casi en el primer equipo;RSA;3M € - 4,7M €;182m € p/a;30/6/2027;;;;;;;;;;;;8;8;10;8;9;9;4;9;5;11;8;11;9;11;11;11;10;10;8;7;9;5;13;9;6;12;13;7;14;13;11;6;12;14;12;8
Ilyas Bouazzaoui;;ME/MP (C);MP (C);OAD;18;2;3.5;Promesa casi en el primer equipo;MAR;210m € - 1,3M €;57m € p/a;30/6/2028;;;;;;;;;;;;5;13;7;8;8;16;9;13;11;16;10;12;16;14;6;8;12;12;10;8;12;5;14;3;13;12;12;10;8;6;14;9;13;7;9;6
Tian Nai Koren;Ind;MP (DIC);MP (C);CI;16;2;5;Promesa casi en el primer equipo;SVN;11,5M € - 19M €;105m € p/a;30/6/2028;;;;;;;;;;;;9;11;9;9;8;9;10;12;8;11;10;12;12;13;12;10;11;13;9;8;11;7;13;10;8;13;13;4;12;13;9;7;9;13;8;7
Jessi Da Silva;Ind;MP (DC);MP (D);EXT;17;2;5;Promesa casi en el primer equipo;BEL;300m € - 3M €;130m € p/a;30/6/2027;;;;;;;;;;;;5;10;12;8;9;9;9;15;6;12;5;12;11;12;8;12;8;10;8;8;7;6;11;6;7;13;12;7;13;13;8;8;16;13;8;8
Al-Hassan Kamara;Ind;MP (D);MP (D);EPD;16;2.5;5;Futura promesa;BEL;190m € - 6,2M €;26m € p/a;30/6/2027;;;;;;;;;;;;5;7;8;9;4;9;15;9;4;12;5;9;9;9;6;11;9;14;5;9;6;7;9;6;8;12;13;4;14;12;12;13;9;11;7;6
Chris Grombahi;;ME/MP (DI);MP (D);EPD;17;2.5;5;Futura promesa;CIV;130m € - 1,3M €;5,5m € p/a;30/6/2027;;;;;;;;;;;;8;8;8;10;6;7;14;14;3;10;3;9;11;9;10;10;11;12;7;4;11;3;11;8;3;12;13;3;12;13;10;5;13;12;11;7
Rayan Buifrahi;Ind;MP (IC);MP (I);DES;20;2;3.5;Promesa casi en el primer equipo;BEL;300m € - 1,1M €;93,5m € p/a;30/6/2027;;;;;;;;;;;;10;10;12;8;8;11;2;13;6;12;6;8;12;8;9;13;7;13;10;7;12;7;11;6;5;13;12;5;13;13;12;7;15;12;11;8
Iwo Polakow;Ind;MP (C);MP (C);CI;18;2.5;3.5;Futura promesa;POL;90m € - 900m €;26m € p/a;30/6/2026;;;;;;;;;;;;10;9;4;6;8;8;15;13;11;9;8;9;15;14;7;11;11;13;7;7;10;5;9;3;8;14;14;7;14;13;5;4;12;11;9;3
Jesse Bisiwu;;MP (I);MP (I);EPD;17;2;3;Joven;BEL;14m € - 140m €;135m € p/a;30/6/2027;;;;;;;;;;;;5;7;11;10;9;8;12;12;6;13;9;9;10;11;7;11;11;15;8;7;8;6;10;8;8;13;14;6;14;12;10;9;14;12;10;11
Tobias Jensen;;MP (DI);MP (D);EXT;19;2;3.5;Futura promesa;DEN;325m € - 1,4M €;130m € p/a;30/6/2028;;;;;;;;;;;;13;5;15;9;4;8;5;10;12;8;5;13;1;13;7;12;6;13;7;6;9;4;10;5;7;11;11;7;14;14;7;7;10;14;8;4
Andre Garcia;Ind;DF/CR/ME/MP;ME (I);EXT;17;2;4;Promesa casi en el primer equipo;ENG;1,7M € - 2,9M €;71m € p/a;30/6/2029;;;;;;;;;;;;8;7;8;10;8;6;13;10;5;10;8;8;9;9;10;11;8;11;10;5;9;9;9;5;9;12;11;8;15;12;11;5;15;12;12;7
Stan Troch;;MP (IC);MP (I);EXT;16;2.5;4;Futura promesa;BEL;550m € - 1,4M €;3m € p/a;30/6/2027;;;;;;;;;;;;9;7;7;7;6;3;17;9;11;7;1;7;10;12;6;9;10;14;5;4;5;5;9;3;7;9;12;5;13;11;6;4;12;12;12;2
Jippe Caes;;MP (I);MP (I);EXT;16;2.5;3.5;Futura promesa;BEL;120m € - 300m €;27,5m € p/a;30/6/2027;;;;;;;;;;;;11;10;7;7;4;4;18;9;5;10;6;13;8;12;7;11;7;13;6;7;5;6;11;3;7;10;9;2;14;10;4;11;15;13;7;5
Lyen Ferrant;Ind;ME/MP (C);MP (C);SD;16;2.5;4;Futura promesa;BEL;60m € - 600m €;26m € p/a;30/6/2027;;;;;;;;;;;;7;8;6;14;9;11;16;12;11;12;9;12;6;7;7;7;8;9;7;4;4;1;8;7;7;13;8;5;14;12;3;10;11;13;10;8
Felix Van As;Ind;ME/MP (D);ME (D);EXT;16;1;3;Futura promesa;BEL;210m € - 500m €;24m € p/a;30/6/2027;;;;;;;;;;;;5;8;3;5;8;8;11;5;9;6;6;8;4;12;8;13;6;13;6;6;6;5;7;5;7;9;9;6;14;10;7;6;12;12;7;4
Pau Cabanes;;MP (I), DL (C);DL (C);DB;20;3;5;Jugador importante;ESP;27M € - 42M €;664m € p/a;30/6/2028;;;;;;;;;;;;8;10;10;11;11;12;13;13;5;15;10;10;12;14;8;11;15;14;8;12;11;5;12;8;9;15;15;10;15;14;15;8;8;15;11;6
Nicolò Tresoldi;S7;DL (C);DL (C);DLC;21;3;4.5;Titular habitual;GER;16,5M € - 21M €;997m € p/a;30/6/2029;;;;;;;;;;;;12;14;13;12;11;11;13;13;7;14;9;12;10;13;6;8;14;13;12;14;10;6;11;13;7;14;12;6;13;14;12;14;12;13;12;12
Romeo Vermant;PrF;DL (C);DL (C);ARI;21;3;4;Jugador de plantilla;BEL;6,6M € - 7,6M €;185m € p/a;30/6/2028;;;;;;;;;;;;12;13;12;12;12;13;12;10;10;14;12;14;12;12;10;11;14;12;9;13;11;7;13;13;8;12;12;8;13;12;13;13;12;12;12;11
Gustaf Nilsson;S3;DL (C);DL (C);OBJ;28;2.5;2.5;Jugador secundario;SWE;650m € - 1,4M €;548m € p/a;30/6/2028;;;;;;;;;;;;14;13;12;11;11;14;12;8;10;13;10;15;11;15;7;9;13;10;7;15;12;6;9;12;7;10;11;10;10;9;14;17;14;10;14;13
Jean-Paul Bayiha;Ind;DL (C);DL (C);DLC;16;2.5;5;Futura promesa;BEL;1,4M € - 2,6M €;22m € p/a;30/6/2028;;;;;;;;;;;;14;10;4;9;9;7;7;8;4;10;8;10;5;7;6;8;11;13;6;13;7;4;10;5;6;10;10;7;14;11;8;12;11;11;3;10
Yanis Musuayi;Ind;DL (C);DL (C);DLC;18;2;4;Futura promesa;BEL;275m € - 1,6M €;52m € p/a;30/6/2027;;;;;;;;;;;;7;13;7;11;7;10;12;12;8;11;6;11;7;8;7;11;14;8;8;11;6;7;8;6;5;11;12;6;13;9;11;14;14;10;7;12
Stan Naert;Ind;DL (C);DL (C);OBJ;17;2.5;4;Futura promesa;BEL;300m € - 1,8M €;34m € p/a;30/6/2027;;;;;;;;;;;;10;8;12;12;9;10;8;11;7;12;7;14;9;9;4;7;15;9;7;12;8;3;11;8;6;13;10;8;9;12;12;14;12;9;8;12
Jakke Van Britsom;Les;DL (C);DL (C);ARI;18;2;3.5;Futura promesa;BEL;200m € - 700m €;125m € p/a;30/6/2027;;;;;;;;;;;;12;11;3;9;9;10;10;11;4;13;9;7;9;9;5;6;14;14;8;10;8;1;7;3;7;12;8;8;14;14;13;11;13;13;9;6
Dayvi Busby;Ind;MP (D), DL (C);DL (C);DLC;17;2.5;3;Futura promesa;CUW;75m € - 750m €;100m € p/a;30/6/2028;;;;;;;;;;;;11;6;5;7;7;12;11;15;5;13;6;8;9;9;7;9;13;8;7;11;6;1;12;4;6;9;10;7;13;10;11;13;12;11;8;7
