Jugador;Inf;Posición;Mejor pos.;Mejor rol;Edad;Calidad;Potencial;Tiempo de juego;País;Valor de traspaso;Sueldo;Final;Alcance aéreo;Mando en el área;Comunicación;Excentricidad;Blocaje;Saques de puerta;Uno contra uno;Reflejos;Salidas;Puños;Saque con la mano;Agresividad;Anticipación;Valentía;Serenidad;Concentración;Decisiones;Determinación;Talento;Liderazgo;Desmarques;Colocación;Trabajo equipo;Visión;Sacrificio;Saques de esquina;Centros;Remate;Control;Tiros libres;Cabeceo;Tiros lejanos;Saques largos;Pases;Penaltis;Entradas;Técnica;Regate;Marcaje;Aceleración;Agilidad;Equilibrio;Alcance de salto;Recuperación física;Velocidad;Resistencia;Fuerza
Louis Poland;Ind;DF (I);DF (I);LOC;17;1;2.5;Joven;ENG;18m € - 180m €;18,25m € p/a;30/6/2026;;;;;;;;;;;;12;7;11;5;8;11;12;5;7;9;9;13;13;13;6;10;1;8;3;7;5;3;11;1;12;11;8;5;13;10;7;11;9;12;8;3
Roman Dixon;Les;DF/CR/ME (D);DF (D);LO;20;2;3;Cedido en otro club;ENG;950m € - 3,1M €;120m € p/a;30/6/2027;;;;;;;;;;;;7;7;9;10;11;9;18;5;8;10;8;10;10;12;9;13;8;10;9;9;8;7;8;4;15;12;11;9;15;14;8;6;15;16;10;7
George Finney;;DF/CR (D);DF (D);LO;18;1.5;3;Cedido en otro club;ENG;300m € - 650m €;48m € p/a;30/6/2027;;;;;;;;;;;;13;8;9;8;9;13;2;7;2;14;10;12;6;9;7;13;10;10;3;8;2;7;12;2;11;10;7;10;13;8;14;11;15;8;14;5
Rocco Lambert;Juv;DF/CR (D), MC;ME (D);EXT;17;1;3;Joven;ENG;120m € - 270m €;18,25m € p/a;30/6/2026;;;;;;;;;;;;9;12;8;7;4;11;11;5;1;8;6;7;7;12;11;13;3;10;6;6;7;6;11;2;11;11;6;6;12;12;13;10;7;14;7;3
Eli Campbell;;DF (IC), CR (I);DF (C);CLT;21;1.5;3;Cedido en otro club;ENG;85m € - 475m €;150m € p/a;30/6/2027;;;;;;;;;;;;12;11;15;11;8;8;11;7;6;9;12;13;9;13;6;6;6;11;7;12;5;7;9;5;12;10;9;9;15;11;11;11;18;14;12;10
Harvey Billington;Ind;DF/CR (I);DF (I);CPD;16;1;2.5;Joven;ENG;0 € - 100m €;18,25m € p/a;30/6/2027;;;;;;;;;;;;15;6;8;13;7;10;5;5;2;4;9;12;5;12;4;9;1;8;1;6;6;5;10;3;13;8;9;7;11;10;13;14;7;10;11;3
Ademide Akarakiri;Ind;DF/CR (D), ME;MP (C);MP;16;1;2.5;Joven;NGA;12m € - 130m €;18,25m € p/a;30/6/2026;;;;;;;;;;;;14;10;6;9;2;12;3;15;2;6;6;5;10;11;4;7;7;12;4;1;9;1;11;1;7;7;13;4;12;11;5;6;9;13;4;6
James Tarkowski;;DF (C);DF (C);CCT;32;3;3;Titular habitual;ENG;15,5M € - 16,5M €;6,01M € p/a;30/6/2028;;;;;;;;;;;;17;15;17;13;15;12;13;10;17;8;14;16;10;15;3;6;8;13;4;17;6;7;12;10;16;12;10;14;12;10;13;14;14;12;13;15
Michael Keane;;DF (C);DF (D);LPD;32;3;3;Jugador de plantilla;ENG;8,8M € - 11M €;2,7M € p/a;30/6/2026;;;;;;;;;;;;11;15;15;11;14;12;17;5;12;10;15;15;10;13;5;8;9;12;5;17;6;12;13;5;16;15;8;14;10;9;12;15;14;12;13;15
Reece Welch;Ced;DF (C);DF (C);CCT;21;2.5;2.5;Joven;ENG;35m € - 350m €;120m € p/a;30/6/2026;;;;;;;;;;;;10;10;11;12;10;8;12;7;7;7;10;12;10;12;5;6;5;11;5;12;5;5;11;3;10;11;7;10;11;9;12;15;12;12;12;11
William Tamen;;DF (C);DF (C);CD;19;1;3;Cedido en otro club;ENG;12m € - 130m €;30m € p/a;30/6/2027;;;;;;;;;;;;10;11;10;8;9;9;10;5;8;7;11;9;7;11;6;8;2;8;10;11;4;4;8;6;9;8;4;11;12;10;11;13;11;11;12;13
Aled Thomas;;DF (C);DF (C);CD;18;1;2;Joven;WAL;3,5m € - 35m €;39m € p/a;30/6/2027;;;;;;;;;;;;15;10;11;6;9;12;8;5;11;1;12;4;2;5;1;1;4;2;1;11;1;1;11;1;9;4;1;12;7;7;5;11;14;9;6;7
Luca Davis;;DF (C);DF (C);CD;18;1;2.5;Joven;ENG;0 € - 85m €;48m € p/a;30/6/2027;;;;;;;;;;;;15;10;11;4;9;12;15;5;10;3;8;4;7;5;1;3;1;5;1;14;1;1;8;1;12;5;1;12;10;7;5;14;15;9;10;12
Bradley Moonan;;DF (C);DF (C);CCT;19;1;2.5;Joven;ENG;7m € - 180m €;36m € p/a;30/6/2026;;;;;;;;;;;;15;7;14;11;8;10;5;5;13;7;11;7;11;8;4;4;5;9;1;15;6;5;11;5;11;9;5;10;9;7;8;11;15;8;5;10
John Dodds;Juv;DF (C);DF (C);CD;16;1;2;Joven;SCO;16m € - 160m €;18,25m € p/a;30/6/2028;;;;;;;;;;;;15;5;13;2;6;12;6;5;10;3;11;3;7;4;1;1;1;7;1;16;3;2;11;1;10;10;2;8;7;6;4;16;17;8;1;7
Lewis Evans;Ind;DF (C);DF (C);CD;16;1;3;Joven;ENG;18m € - 180m €;18,25m € p/a;30/6/2027;;;;;;;;;;;;15;13;14;3;7;13;13;5;1;3;11;5;2;6;2;1;5;5;3;10;1;1;10;1;13;10;1;13;9;7;6;14;13;9;3;3
Reuben Gokah;Ind;DF (C);DF (C);DFC;16;1;3;Joven;ENG;350m € - 850m €;18,25m € p/a;30/6/2027;;;;;;;;;;;;15;15;11;13;6;12;11;5;4;5;18;5;4;6;1;1;1;10;1;6;5;5;8;1;12;6;5;8;7;8;6;15;7;9;2;4
Tyler Onyango;NoI;DF (C), MC, ME;DF (C);CPO;22;2.5;2.5;Cedido en otro club;ENG;70m € - 550m €;331m € p/a;30/6/2026;;;;;;;;;;;;13;10;10;9;11;10;14;10;7;10;9;12;9;13;7;9;8;10;7;11;8;7;10;7;11;10;10;11;12;10;12;15;14;13;14;12
Jack Patterson;;DF (C), MC, ME;MC;CTT;19;2.5;3;Cedido en otro club;NIR;18m € - 180m €;120m € p/a;30/6/2027;;;;;;;;;;;;10;9;14;11;9;12;5;5;11;6;8;8;12;12;5;10;8;7;7;8;9;2;12;5;14;10;5;10;11;11;5;9;15;11;12;12
Kiernan Dewsbury-Hall;S9;ME/MP (C);ME (C);CO;26;3.5;4;Jugador de plantilla;ENG;32M € - 42M €;6,01M € p/a;30/6/2030;;;;;;;;;;;;13;12;12;14;12;14;15;13;11;15;14;15;15;17;13;12;15;15;14;10;11;5;15;10;12;13;14;9;12;15;12;10;18;12;16;14
James Garner;;MC, ME (C);MC;CTT;24;3.5;4;Jugador importante;ENG;51M € - 56M €;8,72M € p/a;30/6/2030;;;;;;;;;;;;12;13;12;14;14;13;16;9;11;15;15;16;14;17;14;14;11;14;12;8;13;2;15;12;16;16;10;10;12;13;13;12;16;13;17;13
Carlos Alcaraz;;ME/MP (C);MP (C);OAD;22;3;4;Jugador de plantilla;ARG;36M € - 46M €;3,3M € p/a;30/6/2027;;;;;;;;;;;;14;13;11;14;13;14;14;14;10;14;15;15;14;14;12;11;13;14;14;9;12;9;15;11;11;15;13;12;13;13;13;14;12;13;13;12
Idrissa Gueye;PrF;MC, ME (C);MC;MC;35;3;3;Titular habitual;SEN;1,8M € - 2,8M €;8,42M € p/a;30/6/2026;;;;;;;;;;;;14;15;17;13;14;13;16;8;13;9;14;17;12;16;8;9;6;13;9;11;11;9;11;8;18;13;10;14;13;14;12;8;15;13;16;12
Tim Iroegbunam;;MC, ME (C);ME (C);MC;22;3;3;Jugador de plantilla;ENG;28M € - 32M €;1,5M € p/a;20/6/2027;;;;;;;;;;;;14;13;12;14;13;13;13;14;6;13;13;14;12;14;10;9;8;13;9;7;13;6;13;7;15;14;13;13;14;13;14;13;15;13;13;15
Merlin Röhl;;MC, ME/MP (C);ME (I);EPD;23;3;4;Jugador de plantilla;GER;14M € - 22M €;3M € p/a;30/6/2028;;;;;;;;;;;;13;12;12;11;12;11;15;15;11;12;10;15;12;15;6;10;8;14;6;12;10;7;13;10;12;15;15;10;13;14;12;14;10;15;15;11
Harrison Armstrong;S8;MC, ME/MP (C);MC;OTT;18;2.5;5;Promesa casi en el primer equipo;ENG;23M € - 28M €;692m € p/a;30/6/2028;;;;;;;;;;;;12;12;14;13;12;11;14;12;11;10;13;12;13;14;6;11;8;13;7;10;7;7;12;10;11;14;12;9;13;12;13;14;15;14;14;14
Francis Gomez;Seg;MC, ME (C);ME (C);MC;19;2;3;Joven;GAM;300m € - 900m €;150m € p/a;30/6/2027;;;;;;;;;;;;15;14;9;9;7;14;4;5;9;8;13;13;9;14;8;6;9;13;8;8;12;6;13;5;16;10;5;9;10;10;9;6;14;10;8;13
Callum Bates;;MC, ME (C);ME (C);MB;19;2.5;2.5;Joven;ENG;140m € - 270m €;108m € p/a;30/6/2027;;;;;;;;;;;;8;6;3;11;10;5;11;7;6;9;8;14;12;14;8;10;5;15;7;2;15;3;13;2;14;13;9;10;10;10;10;5;17;7;11;7
Malik Olayiwola;Ind;MC, ME (C);ME (C);MP;16;2.5;4;Futura promesa;ENG;800m € - 1,6M €;18,25m € p/a;30/6/2028;;;;;;;;;;;;10;7;11;6;7;13;15;17;2;10;6;10;9;8;6;7;10;13;4;6;9;2;11;3;9;14;13;8;12;12;7;3;15;13;12;8
Melvin Matos;Ind;MC, ME/MP (C);MC;MC;17;1;2;Joven;ENG;22m € - 220m €;18,25m € p/a;30/6/2026;;;;;;;;;;;;15;13;10;4;10;11;14;8;10;7;9;12;7;11;5;2;6;10;5;1;5;5;11;1;13;7;7;9;15;8;6;4;12;13;6;8
Freddie Murdock;Ind;ME/MP (C);ME (C);CI;16;1;3;Futura promesa;NIR;120m € - 1,2M €;18,25m € p/a;30/6/2027;;;;;;;;;;;;10;3;5;8;4;7;11;6;1;9;4;11;9;17;10;5;7;10;14;5;13;1;10;3;4;12;6;10;12;13;11;4;10;12;10;6
Harvey Foster;;MC, ME (C);ME (C);MC;18;1;2;Joven;ENG;14m € - 140m €;48m € p/a;30/6/2027;;;;;;;;;;;;7;5;7;5;9;13;15;5;12;5;5;12;10;11;7;8;6;12;13;5;12;1;9;12;8;10;2;6;9;7;8;11;12;8;9;8
Luis Gardner;;MC, ME (C);MC;PVO;17;1;3;Joven;WAL;130m € - 270m €;45m € p/a;30/6/2028;;;;;;;;;;;;5;7;7;18;4;14;13;5;1;8;4;12;14;12;5;3;5;13;5;5;7;3;13;1;9;13;1;5;3;7;6;11;16;6;11;3
Jack Grealish;;ME (DI), MP (DI);MP (I);EPD;29;3.5;3.5;Jugador importante;ENG;44M € - 66M €;8,12M € p/a;30/6/2027;;;;;;;;;;;;9;13;15;14;12;13;14;16;12;13;10;13;14;15;13;14;9;15;10;11;10;3;14;12;9;14;17;6;14;15;14;7;15;12;14;13
Iliman N'Diaye;;ME (DI), MP (DI);MP (I);EPD;25;4;4;Jugador importante;SEN;66M € - 73M €;3,3M € p/a;30/6/2029;;;;;;;;;;;;6;11;11;13;13;10;15;17;9;13;10;12;13;15;8;12;15;16;9;12;12;5;12;10;10;17;19;5;14;16;14;8;12;14;12;14
Gaspar;;ME (DI), MP (DI);MP (I);EPD;25;3;3;Jugador de plantilla;ESP;16M € - 17,5M €;3M € p/a;30/6/2029;;;;;;;;;;;;9;10;8;12;12;13;15;13;14;14;11;15;15;11;12;12;12;15;11;7;15;8;15;14;9;16;14;8;13;14;12;8;10;13;12;11
Dwight McNeil;;ME/MP (DI), DL;MP (I);EPD;25;3;3;Jugador de plantilla;ENG;27M € - 32M €;4,51M € p/a;30/6/2027;;;;;;;;;;;;8;13;14;13;12;13;16;14;6;14;10;15;13;13;13;14;12;14;9;7;14;6;14;9;12;15;13;10;12;14;10;11;16;13;14;10
Isaac Heath;;CR/ME (I), MP (I);MP (I);EXT;20;1.5;2.5;Cedido en otro club;ENG;35m € - 1M €;150m € p/a;30/6/2027;;;;;;;;;;;;8;9;9;12;10;10;16;14;4;9;9;10;11;15;8;11;10;10;7;3;9;2;7;6;7;9;13;2;15;13;12;8;11;13;11;7
Jacob Beaumont-Clark;Ced;ME/MP (D);MP (D);EPD;19;1;2;Joven;ENG;110m € - 220m €;42m € p/a;30/6/2026;;;;;;;;;;;;6;6;5;12;5;8;4;11;1;10;6;7;10;11;6;8;11;9;6;6;8;6;10;5;6;13;11;4;13;11;13;6;14;12;7;3
Coby Ebere;;ME/MP (I), DL;MP (I);EXT;19;1;2.5;Joven;GER;5m € - 110m €;48m € p/a;30/6/2027;;;;;;;;;;;;5;9;7;10;1;7;9;15;5;9;5;6;6;10;5;8;10;8;5;5;3;5;11;4;5;11;11;1;13;7;11;14;9;15;6;13
Justin Clarke;;ME (D), MP (DI);MP (I);EXT;17;2.5;4.5;Futura promesa;ENG;4,3M € - 7,8M €;48m € p/a;30/6/2028;;;;;;;;;;;;7;4;4;7;7;3;10;11;11;7;2;6;3;6;9;12;9;6;7;4;4;5;3;6;8;12;10;6;15;11;4;6;12;15;8;10
Joel Catesby;;ME (D), MP (DI);MP (D);EXT;18;1;2.5;Joven;ENG;4,5m € - 45m €;43,5m € p/a;30/6/2027;;;;;;;;;;;;15;4;4;4;5;7;16;10;8;9;8;11;8;9;2;8;10;6;4;4;10;2;7;1;6;11;8;2;12;11;12;5;14;13;7;9
Shea Pita;Juv;ME (D), MP (DI);MP (D);EXT;16;1;3;Futura promesa;WAL;40m € - 425m €;18,25m € p/a;30/6/2027;;;;;;;;;;;;14;5;5;5;5;6;15;13;4;10;2;11;4;14;4;7;6;12;4;4;5;4;9;2;10;12;14;2;11;10;12;5;9;12;7;12
Thierno Barry;;MP (DI), DL (C);DL (C);OBJ;22;3;3.5;Jugador de plantilla;FRA;37M € - 47M €;3,61M € p/a;30/6/2029;;;;;;;;;;;;11;13;15;11;11;13;12;11;8;15;8;14;13;14;8;10;12;12;8;13;13;6;12;13;6;12;12;8;14;14;13;18;15;16;15;14
Tyler Dibling;S6;MP (DC);MP (D);DES;19;3;4;Titular habitual;ENG;48M € - 59M €;2,4M € p/a;30/6/2029;;;;;;;;;;;;7;11;10;14;11;12;12;15;7;13;9;10;14;10;13;13;10;15;9;7;13;9;14;7;7;15;17;7;14;14;16;10;11;15;12;14
Tyrique George;;MP (DIC), DL (C);MP (I);EXT;19;2;4;Promesa casi en el primer equipo;ENG;11,5M € - 14M €;596m € p/a;30/6/2027;;;;;;;;;;;;7;7;6;9;12;9;9;16;4;8;6;10;10;11;10;11;10;10;13;5;15;6;10;6;5;13;13;4;15;10;10;12;12;14;12;8
Francis Okoronkwo;;MP (DI), DL (C);DL (C);DB;20;1.5;3;Cedido en otro club;ENG;20m € - 600m €;301m € p/a;30/6/2026;;;;;;;;;;;;9;10;10;11;9;9;15;9;5;10;7;11;8;12;5;7;11;11;5;10;7;5;9;14;5;12;12;6;12;11;13;14;13;14;11;10
Omari Benjamin;Ced;MP (DI), DL (C);DL (C);DB;19;1.5;3;Joven;WAL;35m € - 350m €;45m € p/a;30/6/2027;;;;;;;;;;;;10;10;3;9;9;8;5;10;11;10;7;13;10;15;9;7;10;8;8;8;11;1;7;9;4;13;12;9;15;8;10;10;15;13;10;10
Charlie Stewart;Ind;MP (DIC);MP (D);EXT;17;1;3;Joven;SCO;18m € - 180m €;18,25m € p/a;30/6/2026;;;;;;;;;;;;5;6;7;7;3;5;7;12;2;5;5;7;11;12;4;8;7;10;4;1;3;4;9;4;5;13;12;1;12;11;11;10;13;13;9;2
Kingsford Boakye;;MP (DI);MP (I);EXT;20;1;2.5;Joven;GHA;4m € - 50m €;36m € p/a;30/6/2026;;;;;;;;;;;;5;4;4;3;6;9;7;12;11;4;5;6;3;7;7;11;8;10;4;6;7;2;12;1;6;14;14;5;15;10;6;7;8;10;6;3
Kean Wren;Ind;MP (DI);MP (I);EXT;17;1;3.5;Joven;ENG;14m € - 140m €;18,25m € p/a;30/6/2026;;;;;;;;;;;;15;7;7;4;6;6;10;12;10;6;5;6;8;7;7;11;10;12;5;5;7;4;9;1;1;11;13;3;13;14;6;7;13;12;5;3
Amari Moses;Ind;MP (I);MP (I);EXT;16;1;3.5;Joven;ENG;90m € - 900m €;18,25m € p/a;30/6/2028;;;;;;;;;;;;10;9;6;6;5;6;8;12;1;4;5;11;4;11;6;11;7;8;5;6;9;1;6;5;5;11;11;4;12;13;12;9;13;13;11;3
Beto;Seg;DL (C);DL (C);OBJ;27;3;3;Jugador secundario;GNB;13M € - 16M €;3M € p/a;30/6/2027;;;;;;;;;;;;15;12;12;14;13;13;16;11;8;15;8;13;10;16;5;7;12;11;6;13;11;6;12;11;6;11;13;6;15;13;10;17;14;16;13;17
Braiden Graham;;DL (C);DL (C);DB;17;2.5;4;Joven;NIR;230m € - 2,1M €;43,5m € p/a;30/6/2027;;;;;;;;;;;;12;11;5;10;7;8;4;7;6;15;6;8;9;13;4;5;13;10;6;7;5;2;7;10;4;9;10;5;13;12;9;8;12;12;11;7
Martin Sherif;;DL (C);DL (C);OBJ;19;2.5;4;Cedido en otro club;NED;550m € - 2,1M €;51m € p/a;30/6/2026;;;;;;;;;;;;15;11;12;10;11;9;14;8;14;11;7;9;9;10;10;6;11;9;10;12;9;6;8;8;10;11;9;4;12;9;12;14;12;12;11;15
George Morgan;;DL (C);DL (C);DLC;18;1;2.5;Cedido en otro club;WAL;35m € - 325m €;36m € p/a;30/6/2026;;;;;;;;;;;;12;11;5;9;7;7;9;12;11;8;7;6;4;7;6;7;12;13;6;13;7;1;8;7;5;12;8;4;9;12;13;13;12;10;5;14
Ray Robert;Ind;DL (C);DL (C);DB;16;1;2;Joven;ENG;140m € - 320m €;18,25m € p/a;30/6/2028;;;;;;;;;;;;11;10;1;9;3;8;13;13;7;12;1;5;2;12;2;4;10;12;4;12;4;3;10;2;3;9;12;1;14;9;12;3;10;13;5;1
Ceiran Loney;Ind;DL (C);DL (C);OBJ;17;1;2.5;Joven;SCO;18m € - 170m €;36m € p/a;30/6/2027;;;;;;;;;;;;13;10;10;10;7;10;16;13;1;7;3;13;8;6;5;6;11;10;5;13;6;1;8;4;8;10;7;4;11;8;6;13;15;10;4;11
